Ville,Type de bien,Prix
Clapiers ,appartement,469000
Orly ,appartement,223680
Enghien-les-Bains ,appartement,535000
Puteaux ,appartement,636680
Paris 15ème ,appartement,557000
Castelnau-le-Lez ,appartement,264222
Saint-Roch ,maison,249400
Gargenville ,appartement,220000
Dugny ,appartement,247110
Paris 15ème ,appartement,640000
Clapiers ,appartement,349000
Montmagny ,appartement,268000
Puteaux ,appartement,851680
Villeneuve-Saint-Georges ,appartement,173880
Fontenay-sous-Bois ,appartement,755080
Pantin ,appartement,461680
Pantin ,appartement,510680
Saint-Jammes ,maison,291000
Pantin ,appartement,650680
Orly ,appartement,258445
Varzy ,ch,954000
Castelnau-le-Lez ,appartement,280798
Dijon ,appartement,159000
Corbeil-Essonnes ,appartement,188000
Dourdan ,appartement,173680
Lyon 6ème ,appartement,1490000
Castelnau-le-Lez ,appartement,548919
Hyeres ,maison,1440000
Nozay ,maison,209000
Amiens ,appartement,214970
Lyon 2ème ,duplex,525000
Poitiers ,appartement,229000
Dourdan ,appartement,221680
Jouars-Pontchartrain ,appartement,201680
Corbeil-Essonnes ,appartement,248000
Lyon 2ème ,appartement,750000
Castanet-Tolosan ,appartement,450000
Saint-Roch ,maison,289400
Aubervilliers ,duplex,464000
Montreuil ,appartement,316680
Lyon 2ème ,appartement,1250000
Toulouse ,appartement,293500
Velizy-villacoublay ,appartement,371680
Jouars-Pontchartrain ,appartement,331680
Maule ,appartement,321680
Maule ,appartement,389680
Corbeil-Essonnes ,appartement,165000
Poissy ,appartement,362880
Pouillon ,maison,223850
Issy-les-Moulineaux ,appartement,465000
Boulogne-Billancourt ,appartement,2495000
Gaillac ,propri,1500000
Castanet-Tolosan ,appartement,450000
Gien ,propri,595000
Fitou ,maison,274900
Boulogne-Billancourt ,maison,1950000
Castres ,ch,1050000
Castanet-Tolosan ,appartement,469000
Maurepas ,maison,646875
Hourtin ,maison,312000
Vallières-sur-Fier ,maison,364000
Seilh ,maison,985000
Blanquefort ,appartement,452000
Vitre ,locaux,94600
,appartement,850000
Lyon 9ème ,maison,720000
Beaumont-sur-leze ,ch,1370000
Blanquefort ,appartement,452000
Veigné ,maison,278300
Lyon 9ème ,maison,695000
Meudon ,appartement,1090000
Montgazin ,propri,1200000
Toulouse ,appartement,395000
Montrouge ,appartement,690000
Meudon ,appartement,810000
Clamart ,appartement,772000
Meudon ,appartement,1110000
Senlis ,appartement,288000
Chatou ,appartement,459000
Saint-Paul-lès-Dax ,maison,312980
Meudon ,appartement,1225000
